Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
ST15,Troy of Dallas,Tecmo Bowl,Sore Thumb Battlefoil,Hex,Secret 1/1,190,Troy Aikman,0,
ST16,Goggles,Tecmo Bowl,Sore Thumb Battlefoil,Hex,Secret 1/1,190,Eric Dickerson,0,
ST17,Howietzer,Tecmo Bowl,Sore Thumb Battlefoil,Hex,Secret 1/1,190,Howie Long,0,
ST18,Thurmanator,Tecmo Bowl,Sore Thumb Battlefoil,Hex,Secret 1/1,190,Thurman Thomas,0,
ST19,Bus,Tecmo Bowl,Sore Thumb Battlefoil,Hex,Secret 1/1,190,Jerome Bettis,0,
ST20,Machine Gun,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,190,Jim Kelly,0,
ST21,Cutback,Tecmo Bowl,Sore Thumb Battlefoil,Hex,Secret 1/1,185,Barry Sanders,0,
ST22,Sea-Largent,Tecmo Bowl,Sore Thumb Battlefoil,Hex,Secret 1/1,185,Steve Largent,0,
ST23,Boz,Tecmo Bowl,Sore Thumb Battlefoil,Hex,Secret 1/1,185,Brian Bosworth,0,
ST24,Allenwrench,Tecmo Bowl,Sore Thumb Battlefoil,Hex,Secret 1/1,185,Marcus Allen,0,
ST25,Ultimate Weapon,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,185,Randall Cunningham,0,
ST26,Shuffler,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,185,Jim McMahon,0,
ST27,Boom,Tecmo Bowl,Sore Thumb Battlefoil,Hex,Secret 1/1,180,Boomer Esiason,0,
ST28,Dentist,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,180,Richard Dent,0,
ST29,Vinniverde,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,180,Vinny Testaverde,0,
ST30,Afterbern,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,180,Bernie Kosar,0,
ST31,Sack King,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,180,Bruce Smith,0,
ST32,Incredible Faulk,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,180,Marshall Faulk,0,
ST33,Mann-O-War,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,180,Charles Mann,0,
ST34,Timmy,Tecmo Bowl,Sore Thumb Battlefoil,Hex,Secret 1/1,175,Tim Brown,0,
ST35,Haley's Comet,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,175,Charles Haley,0,
ST36,Ickey,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,175,Ickey Woods,0,
ST37,Full Moon,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,175,Warren Moon,0,
ST38,Philament,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,175,Phil Simms,0,
ST39,Key Keeper,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,175,Luke Kuechly,0,
ST40,T.D.,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,175,Tony Dorsett,0,
ST41,Sterling,Tecmo Bowl,Sore Thumb Battlefoil,Hex,Secret 1/1,170,Sterling Sharpe,0,
ST42,Too Tall,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,170,"Ed ""Too Tall"" Jones",0,
ST43,Fridge,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,170,William Perry,0,
ST44,Samurai Mike,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,170,Mike Singletary,0,
ST45,Monk,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,170,Art Monk,0,
ST46,Krieghawk,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,170,Dave Krieg,0,
ST47,Undrafted Wrecking Ball,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,170,Gary Clark,0,
ST48,Highjump,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,170,Alonzo Highsmith,0,
ST49,Curt Locker,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,170,Curt Warner,0,
ST50,Calf Roper,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,165,Eric Metcalf,0,
ST51,Novacaine,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,165,Jay Novacek,0,
ST52,Carrier,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,165,Mark Carrier,0,
ST53,Amigo One,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,165,Mark Jackson,0,
ST54,Quick Draw,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,165,Mike Quick,0,
ST55,Bank Robber,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,165,Carl Banks,0,
ST56,Claymore,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,165,Clay Matthews Jr.,0,
ST57,Biscuit,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,165,Cornelius Bennett,0,
ST58,Underdoug,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,165,Doug Williams,0,
ST59,Mountain Drew,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,160,Drew Bledsoe,0,
ST60,Dwight Noise,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,160,Dwight Stephenson,0,
ST61,Green Light,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,160,Harold Green,0,
ST62,K-Mack,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,160,Kevin Mack,0,
ST63,Pepper Spray,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,160,Pepper Johnson,0,
ST64,The Manster,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,160,Randy White,0,
ST65,Woodchipper,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,160,Rod Woodson,0,
ST66,Gaultfather,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,160,Willie Gault,0,
ST67,Jolly Roger,Debut,Sore Thumb Battlefoil,Hex,Secret 1/1,160,Roger Craig,0,
ST68,Sevenring,First Edition,Sore Thumb Battlefoil,Hex,Secret 1/1,200,Tom Brady,0,
ST69,Joe Cool,First Edition,Sore Thumb Battlefoil,Hex,Secret 1/1,200,Joe Montana,0,
ST70,Neon,First Edition,Sore Thumb Battlefoil,Hex,Secret 1/1,195,Deion Sanders,0,
ST71,Sheriff,First Edition,Sore Thumb Battlefoil,Hex,Secret 1/1,195,Peyton Manning,0,
ST72,Sweetest of Sweet,First Edition,Sore Thumb Battlefoil,Hex,Secret 1/1,190,Walter Payton,0,
ST73,Hands,First Edition,Sore Thumb Battlefoil,Hex,Secret 1/1,190,Jerry Rice,0,
ST74,Hands,First Edition,Sore Thumb Battlefoil,Hex,SSP,185,Jerry Rice,0,
ST75,Joe Cool,First Edition,Sore Thumb Battlefoil,Hex,SSP,185,Joe Montana,0,
ST76,Merlomes,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,185,Patrick Mahomes,0,
ST77,Dart-Board,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,185,Jaxson Dart,0,
ST78,Bison,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,185,Josh Allen,0,
ST79,Warp,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,185,Lamar Jackson,0,
ST80,Bayou,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,180,Ja'Marr Chase,0,
ST81,J-Jetts,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,180,Justin Jefferson,0,
ST82,Reindeer Hunter,First Edition,Sore Thumb Battlefoil,Hex,SSP,180,Myles Garrett,0,
ST83,Swervin’,First Edition,Sore Thumb Battlefoil,Hex,SSP,180,Michael Irvin,0,
ST84,MoD,First Edition,Sore Thumb Battlefoil,Hex,SSP,180,Reggie White,0,
ST85,Quads,First Edition,Sore Thumb Battlefoil,Hex,SSP,180,Saquon Barkley,0,
ST86,Darn Old,First Edition,Sore Thumb Battlefoil,Hex,SSP,175,Sam Darnold,0,
ST87,Phoenix,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,175,Bo Nix,0,
ST88,Jax-In-the-Box,First Edition,Sore Thumb Battlefoil,Hex,SSP,175,Jaxon Smith-Njigba,0,
ST89,Eagle-Eye,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,175,Jalen Hurts,0,
ST90,Shrouded,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,175,C.J. Stroud,0,
ST91,Myracle,First Edition,Sore Thumb Battlefoil,Hex,SSP,175,Jahmyr Gibbs,0,
ST92,Skatter,First Edition,Sore Thumb Battlefoil,Hex,SSP,170,Cam Skattebo,0,
ST93,Warden,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,170,Cam Ward,0,
ST94,Yeti,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,170,Travis Kelce,0,
ST95,BrockNess,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,170,Brock Bowers,0,
ST96,McArmyKnife,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,170,Christian McCaffrey,0,
ST97,Muffin Man,First Edition,Sore Thumb Battlefoil,Hex,SSP,170,Baker Mayfield,0,
ST98,Youngblood,First Edition,Sore Thumb Battlefoil,Hex,SSP,165,Bryce Young,0,
ST99,Switchblade,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,165,Travis Hunter,0,
ST100,McVillain,First Edition,Sore Thumb Battlefoil,Hex,SSP,165,Tetairoa McMillan,0,
ST101,Quarter Staff,First Edition,Sore Thumb Battlefoil,Hex,SSP,165,Matthew Stafford,0,
ST102,Judkernaught,First Edition,Sore Thumb Battlefoil,Hex,SSP,165,Quinshon Judkins,0,
ST103,Jeanetic,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,165,Ashton Jeanty,0,
ST104,Coinslot,First Edition,Sore Thumb Battlefoil,Hex,SSP,160,Daniel Jones,0,
ST105,Chanesaw,First Edition,Sore Thumb Battlefoil,Hex,SSP,160,Devon Achane,0,
ST106,Mr. Irrelevant,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,160,Brock Purdy,0,
ST107,Shadowstrike,First Edition,Sore Thumb Battlefoil,Hex,SSP,160,Davante Adams,0,
ST108,Shepherd,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,160,CeeDee Lamb,0,
ST109,Scary,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,160,Terry McLaurin,0,
ST110,Lawman,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,155,Trevor Lawrence,0,
ST111,Buttman,First Edition,Sore Thumb Battlefoil,Hex,SSP,155,Marion Butts,0,
ST112,Criscross,First Edition,Sore Thumb Battlefoil,Hex,SSP,155,Cris Carter,0,
ST113,Rockhead,First Edition,Sore Thumb Battlefoil,Hex,SSP,155,Chris Doleman,0,
ST114,Brawn,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,155,A.J. Brown,0,
ST115,DeVaulta,First Edition,Sore Thumb Battlefoil,Hex,SSP,155,DeVonta Smith,0,
ST116,Hot Sauce,First Edition,Sore Thumb Battlefoil,Hex,SSP,150,Sauce Gardener,0,
ST117,First Leap,First Edition,Sore Thumb Battlefoil,Hex,SSP,150,LeRoy Butler,0,
ST118,Friday,First Edition,Sore Thumb Battlefoil,Hex,SSP,150,Deebo Samuel,0,
ST119,Barreler,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,150,Cooper Kupp,0,
ST120,Watterslide,First Edition,Sore Thumb Battlefoil,Hex,SSP,150,Ricky Watters,0,
ST121,Cannon,First Edition,Sore Thumb Battlefoil,Hex,SSP,150,Rich Gannon,0,
ST122,Furnest,First Edition,Sore Thumb Battlefoil,Hex,SSP,145,Earnest Byner,0,
ST123,Hot Rod,First Edition,Sore Thumb Battlefoil,Hex,SSP,145,Rodney Hampton,0,
ST124,Golden Bullet,Tecmo Bowl,Sore Thumb Battlefoil,Hex,SSP,145,Matthew Golden,0,
ST125,Billiard,First Edition,Sore Thumb Battlefoil,Hex,SSP,145,Dalton Hillard,0,
ST126,Ryptillian,First Edition,Sore Thumb Battlefoil,Hex,SSP,145,Mark Rypien,0,
ST127,Flippa,First Edition,Sore Thumb Battlefoil,Hex,SSP,145,Flipper Anderson,0,
ST128,Slaughterhouse,First Edition,Sore Thumb Battlefoil,Hex,SSP,140,Webster Slaughter,0,
ST129,Hammer,First Edition,Sore Thumb Battlefoil,Hex,SSP,140,Omarion Hampton,0,
ST130,Majik Man,First Edition,Sore Thumb Battlefoil,Hex,SSP,140,Don Majkowski,0,
ST131,A Bear,First Edition,Sore Thumb Battlefoil,Hex,SSP,140,Bobby Hebert,0,
ST132,Moose,First Edition,Sore Thumb Battlefoil,Hex,SSP,140,Daryl Johnston,0,
ST133,Hillicopter,First Edition,Sore Thumb Battlefoil,Hex,SSP,140,Drew Hill,0,
ST134,Bojax,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,195,Bo Jackson,0,
ST135,Attak,Unmasked,Sore Thumb Battlefoil,Glow,SSP,195,Dak Prescott,0,
ST136,Pukadot,Unmasked,Sore Thumb Battlefoil,Glow,SSP,195,Puka Nacua,0,
ST137,Duke of Denver,Debut,Sore Thumb Battlefoil,Glow,SSP,190,John Elway,0,
ST138,Brees,Debut,Sore Thumb Battlefoil,Glow,SSP,190,Drew Brees,0,
ST139,Fear Himself,Debut,Sore Thumb Battlefoil,Glow,SSP,190,Lawrence Taylor,0,
ST140,Mossed,Debut,Sore Thumb Battlefoil,Glow,SSP,190,Randy Moss,0,
ST141,Nigerian Nightmare,Debut,Sore Thumb Battlefoil,Glow,SSP,190,Christian Okoye,0,
ST142,Marino,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,185,Dan Marino,0,
ST143,Young-Gunner,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,185,Steve Young,0,
ST144,Gronk,Debut,Sore Thumb Battlefoil,Glow,SSP,185,Rob Gronkowski,0,
ST145,Hitt Man,Debut,Sore Thumb Battlefoil,Glow,SSP,185,Ronnie Lott,0,
ST146,Island Time,Debut,Sore Thumb Battlefoil,Glow,SSP,185,Darrelle Revis,0,
ST147,Emmitt-164,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,185,Emmitt Smith,0,
ST148,Troy of Dallas,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,180,Troy Aikman,0,
ST149,Goggles,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,180,Eric Dickerson,0,
ST150,Howietzer,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,180,Howie Long,0,
ST151,Thurmanator,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,180,Thurman Thomas,0,
ST152,Bus,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,180,Jerome Bettis,0,
ST153,Machine Gun,Debut,Sore Thumb Battlefoil,Glow,SSP,180,Jim Kelly,0,
ST154,Cutback,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,175,Barry Sanders,0,
ST155,Sea-Largent,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,175,Steve Largent,0,
ST156,Boz,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,175,Brian Bosworth,0,
ST157,Allenwrench,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,175,Marcus Allen,0,
ST158,Ultimate Weapon,Debut,Sore Thumb Battlefoil,Glow,SSP,175,Randall Cunningham,0,
ST159,Shuffler,Debut,Sore Thumb Battlefoil,Glow,SSP,175,Jim McMahon,0,
ST160,Boom,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,170,Boomer Esiason,0,
ST161,Dentist,Debut,Sore Thumb Battlefoil,Glow,SSP,170,Richard Dent,0,
ST162,Vinniverde,Debut,Sore Thumb Battlefoil,Glow,SSP,170,Vinny Testaverde,0,
ST163,Afterbern,Debut,Sore Thumb Battlefoil,Glow,SSP,170,Bernie Kosar,0,
ST164,Sack King,Debut,Sore Thumb Battlefoil,Glow,SSP,170,Bruce Smith,0,
ST165,Incredible Faulk,Debut,Sore Thumb Battlefoil,Glow,SSP,170,Marshall Faulk,0,
ST166,Mann-O-War,Debut,Sore Thumb Battlefoil,Glow,SSP,170,Charles Mann,0,
ST167,Timmy,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,165,Tim Brown,0,
ST168,Haley's Comet,Debut,Sore Thumb Battlefoil,Glow,SSP,165,Charles Haley,0,
ST169,Ickey,Debut,Sore Thumb Battlefoil,Glow,SSP,165,Ickey Woods,0,
ST170,Full Moon,Debut,Sore Thumb Battlefoil,Glow,SSP,165,Warren Moon,0,
ST171,Philament,Debut,Sore Thumb Battlefoil,Glow,SSP,165,Phil Simms,0,
ST172,Key Keeper,Debut,Sore Thumb Battlefoil,Glow,SSP,165,Luke Kuechly,0,
ST173,T.D.,Debut,Sore Thumb Battlefoil,Glow,SSP,165,Tony Dorsett,0,
ST174,Sterling,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,160,Sterling Sharpe,0,
ST175,Too Tall,Debut,Sore Thumb Battlefoil,Glow,SSP,160,"Ed ""Too Tall"" Jones",0,
ST176,Fridge,Debut,Sore Thumb Battlefoil,Glow,SSP,160,William Perry,0,
ST177,Samurai Mike,Debut,Sore Thumb Battlefoil,Glow,SSP,160,Mike Singletary,0,
ST178,Monk,Debut,Sore Thumb Battlefoil,Glow,SSP,160,Art Monk,0,
ST179,Krieghawk,Debut,Sore Thumb Battlefoil,Glow,SSP,160,Dave Krieg,0,
ST180,Undrafted Wrecking Ball,Debut,Sore Thumb Battlefoil,Glow,SSP,160,Gary Clark,0,
ST181,Highjump,Debut,Sore Thumb Battlefoil,Glow,SSP,160,Alonzo Highsmith,0,
ST182,Curt Locker,Debut,Sore Thumb Battlefoil,Glow,SSP,160,Curt Warner,0,
ST183,Calf Roper,Debut,Sore Thumb Battlefoil,Glow,SSP,155,Eric Metcalf,0,
ST184,Novacaine,Debut,Sore Thumb Battlefoil,Glow,SSP,155,Jay Novacek,0,
ST185,Carrier,Debut,Sore Thumb Battlefoil,Glow,SSP,155,Mark Carrier,0,
ST186,Amigo One,Debut,Sore Thumb Battlefoil,Glow,SSP,155,Mark Jackson,0,
ST187,Quick Draw,Debut,Sore Thumb Battlefoil,Glow,SSP,155,Mike Quick,0,
ST188,Bank Robber,Debut,Sore Thumb Battlefoil,Glow,SSP,155,Carl Banks,0,
ST189,Claymore,Debut,Sore Thumb Battlefoil,Glow,SSP,155,Clay Matthews Jr.,0,
ST190,Biscuit,Debut,Sore Thumb Battlefoil,Glow,SSP,155,Cornelius Bennett,0,
ST191,Underdoug,Debut,Sore Thumb Battlefoil,Glow,SSP,155,Doug Williams,0,
ST192,Mountain Drew,Debut,Sore Thumb Battlefoil,Glow,SSP,150,Drew Bledsoe,0,
ST193,Dwight Noise,Debut,Sore Thumb Battlefoil,Glow,SSP,150,Dwight Stephenson,0,
ST194,Green Light,Debut,Sore Thumb Battlefoil,Glow,SSP,150,Harold Green,0,
ST195,K-Mack,Debut,Sore Thumb Battlefoil,Glow,SSP,150,Kevin Mack,0,
ST196,Pepper Spray,Debut,Sore Thumb Battlefoil,Glow,SSP,150,Pepper Johnson,0,
ST197,The Manster,Debut,Sore Thumb Battlefoil,Glow,SSP,150,Randy White,0,
ST198,Woodchipper,Debut,Sore Thumb Battlefoil,Glow,SSP,150,Rod Woodson,0,
ST199,Gaultfather,Debut,Sore Thumb Battlefoil,Glow,SSP,150,Willie Gault,0,
ST200,Jolly Roger,Debut,Sore Thumb Battlefoil,Glow,SSP,150,Roger Craig,0,
ST201,Sevenring,First Edition,Sore Thumb Battlefoil,Glow,SSP,190,Tom Brady,0,
ST202,Joe Cool,First Edition,Sore Thumb Battlefoil,Glow,SSP,190,Joe Montana,0,
ST203,Neon,First Edition,Sore Thumb Battlefoil,Glow,SSP,185,Deion Sanders,0,
ST204,Sheriff,First Edition,Sore Thumb Battlefoil,Glow,SSP,185,Peyton Manning,0,
ST205,Sweetest of Sweet,First Edition,Sore Thumb Battlefoil,Glow,SSP,180,Walter Payton,0,
ST206,Hands,First Edition,Sore Thumb Battlefoil,Glow,SSP,180,Jerry Rice,0,
ST207,Hands,First Edition,Sore Thumb Battlefoil,Glow,SSP,140,Jerry Rice,0,
ST208,Joe Cool,First Edition,Sore Thumb Battlefoil,Glow,SSP,140,Joe Montana,0,
ST209,Merlomes,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,140,Patrick Mahomes,0,
ST210,Dart-Board,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,140,Jaxson Dart,0,
ST211,Bison,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,140,Josh Allen,0,
ST212,Warp,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,140,Lamar Jackson,0,
ST213,Bayou,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,135,Ja'Marr Chase,0,
ST214,J-Jetts,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,135,Justin Jefferson,0,
ST215,Reindeer Hunter,First Edition,Sore Thumb Battlefoil,Glow,SSP,135,Myles Garrett,0,
ST216,Swervin’,First Edition,Sore Thumb Battlefoil,Glow,SSP,135,Michael Irvin,0,
ST217,MoD,First Edition,Sore Thumb Battlefoil,Glow,SSP,135,Reggie White,0,
ST218,Quads,First Edition,Sore Thumb Battlefoil,Glow,SSP,135,Saquon Barkley,0,
ST219,Darn Old,First Edition,Sore Thumb Battlefoil,Glow,SSP,130,Sam Darnold,0,
ST220,Phoenix,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,130,Bo Nix,0,
ST221,Jax-In-the-Box,First Edition,Sore Thumb Battlefoil,Glow,SSP,130,Jaxon Smith-Njigba,0,
ST222,Eagle-Eye,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,130,Jalen Hurts,0,
ST223,Shrouded,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,130,C.J. Stroud,0,
ST224,Myracle,First Edition,Sore Thumb Battlefoil,Glow,SSP,130,Jahmyr Gibbs,0,
ST225,Skatter,First Edition,Sore Thumb Battlefoil,Glow,SSP,125,Cam Skattebo,0,
ST226,Warden,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,125,Cam Ward,0,
ST227,Yeti,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,125,Travis Kelce,0,
ST228,BrockNess,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,125,Brock Bowers,0,
ST229,McArmyKnife,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,125,Christian McCaffrey,0,
ST230,Muffin Man,First Edition,Sore Thumb Battlefoil,Glow,SSP,125,Baker Mayfield,0,
ST231,Youngblood,First Edition,Sore Thumb Battlefoil,Glow,SSP,120,Bryce Young,0,
ST232,Switchblade,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,120,Travis Hunter,0,
ST233,McVillain,First Edition,Sore Thumb Battlefoil,Glow,SSP,120,Tetairoa McMillan,0,
ST234,Quarter Staff,First Edition,Sore Thumb Battlefoil,Glow,SSP,120,Matthew Stafford,0,
ST235,Judkernaught,First Edition,Sore Thumb Battlefoil,Glow,SSP,120,Quinshon Judkins,0,
ST236,Jeanetic,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,120,Ashton Jeanty,0,
ST237,Coinslot,First Edition,Sore Thumb Battlefoil,Glow,SSP,115,Daniel Jones,0,
ST238,Chanesaw,First Edition,Sore Thumb Battlefoil,Glow,SSP,115,Devon Achane,0,
ST239,Mr. Irrelevant,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,115,Brock Purdy,0,
ST240,Shadowstrike,First Edition,Sore Thumb Battlefoil,Glow,SSP,115,Davante Adams,0,
ST241,Shepherd,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,115,CeeDee Lamb,0,
ST242,Scary,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,115,Terry McLaurin,0,
ST243,Lawman,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,110,Trevor Lawrence,0,
ST244,Buttman,First Edition,Sore Thumb Battlefoil,Glow,SSP,110,Marion Butts,0,
ST245,Criscross,First Edition,Sore Thumb Battlefoil,Glow,SSP,110,Cris Carter,0,
ST246,Rockhead,First Edition,Sore Thumb Battlefoil,Glow,SSP,110,Chris Doleman,0,
ST247,Brawn,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,110,A.J. Brown,0,
ST248,DeVaulta,First Edition,Sore Thumb Battlefoil,Glow,SSP,110,DeVonta Smith,0,
ST249,Hot Sauce,First Edition,Sore Thumb Battlefoil,Glow,SSP,105,Sauce Gardener,0,
ST250,First Leap,First Edition,Sore Thumb Battlefoil,Glow,SSP,105,LeRoy Butler,0,
ST251,Friday,First Edition,Sore Thumb Battlefoil,Glow,SSP,105,Deebo Samuel,0,
ST252,Barreler,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,105,Cooper Kupp,0,
ST253,Watterslide,First Edition,Sore Thumb Battlefoil,Glow,SSP,105,Ricky Watters,0,
ST254,Cannon,First Edition,Sore Thumb Battlefoil,Glow,SSP,105,Rich Gannon,0,
ST255,Furnest,First Edition,Sore Thumb Battlefoil,Glow,SSP,100,Earnest Byner,0,
ST256,Hot Rod,First Edition,Sore Thumb Battlefoil,Glow,SSP,100,Rodney Hampton,0,
ST257,Golden Bullet,Tecmo Bowl,Sore Thumb Battlefoil,Glow,SSP,100,Matthew Golden,0,
ST258,Billiard,First Edition,Sore Thumb Battlefoil,Glow,SSP,100,Dalton Hillard,0,
ST259,Ryptillian,First Edition,Sore Thumb Battlefoil,Glow,SSP,100,Mark Rypien,0,
ST260,Flippa,First Edition,Sore Thumb Battlefoil,Glow,SSP,100,Flipper Anderson,0,
ST261,Slaughterhouse,First Edition,Sore Thumb Battlefoil,Glow,SSP,95,Webster Slaughter,0,
ST262,Hammer,First Edition,Sore Thumb Battlefoil,Glow,SSP,95,Omarion Hampton,0,
ST263,Majik Man,First Edition,Sore Thumb Battlefoil,Glow,SSP,95,Don Majkowski,0,
ST264,A Bear,First Edition,Sore Thumb Battlefoil,Glow,SSP,95,Bobby Hebert,0,
ST265,Moose,First Edition,Sore Thumb Battlefoil,Glow,SSP,95,Daryl Johnston,0,
ST266,Hillicopter,First Edition,Sore Thumb Battlefoil,Glow,SSP,95,Drew Hill,0,
ST267,Bojax,Tecmo Bowl,Sore Thumb Battlefoil,Fire,SP,190,Bo Jackson,0,
ST268,Attak,Unmasked,Sore Thumb Battlefoil,Fire,SP,190,Dak Prescott,0,
ST269,Pukadot,Unmasked,Sore Thumb Battlefoil,Fire,SP,190,Puka Nacua,0,
ST270,Duke of Denver,Debut,Sore Thumb Battlefoil,Fire,SP,185,John Elway,0,
ST271,Brees,Debut,Sore Thumb Battlefoil,Fire,SP,185,Drew Brees,0,
ST272,Fear Himself,Debut,Sore Thumb Battlefoil,Fire,SP,185,Lawrence Taylor,0,
ST273,Mossed,Debut,Sore Thumb Battlefoil,Fire,SP,185,Randy Moss,0,
ST274,Nigerian Nightmare,Debut,Sore Thumb Battlefoil,Fire,SP,185,Christian Okoye,0,
ST275,Marino,Tecmo Bowl,Sore Thumb Battlefoil,Fire,SP,180,Dan Marino,0,
ST276,Young-Gunner,Tecmo Bowl,Sore Thumb Battlefoil,Fire,SP,180,Steve Young,0,
ST277,Gronk,Debut,Sore Thumb Battlefoil,Fire,SP,180,Rob Gronkowski,0,
ST278,Hitt Man,Debut,Sore Thumb Battlefoil,Fire,SP,180,Ronnie Lott,0,
ST279,Island Time,Debut,Sore Thumb Battlefoil,Fire,SP,180,Darrelle Revis,0,
